,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,goals_per_app,assists_per_app,minutes_per_goal,assist_to_goal_ratio
7382,-0.9812272565156488,-0.9540196188401237,-1.4112010984988346,-1.2805365732537197,0.38013914583437075,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,-0.31596669279132744,-0.12175309273379369,-1.8314312465580775,-0.5153965985805741,-0.5900083839076895,0.3253691812449009,-0.9770299633081607,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
4223,0.6558660304126903,0.5790285830770214,1.2719087660834234,1.46626105840819,0.38013914583437075,0.21704322829559602,0.32803679406910874,0.334023786161357,-0.044268472038573974,-0.11275399464003784,2.008002579053094,-0.5153965985805741,-0.5900083839076895,0.3253691812449009,0.03204609704620202,1.8664880597334907,1.954958108278236,-0.803427548008352,0.3657036080298173
1333,0.9832846877983582,0.9490747007811599,0.11101774753201404,-0.2461286004388543,0.38013914583437075,0.13199668686220195,-0.32552428201452765,-0.01693297445495921,-0.0515691321939577,0.022742160198158504,-0.39222218132446296,-0.5153965985805741,-0.5900083839076895,0.19192589042926667,0.868609169480928,0.6102024204374016,-0.7866254677722384,-0.7989065598655817,-0.7128668711165993
8199,-1.4723552425941506,-1.3108498037691143,-1.1275372131362362,-1.2805365732537197,0.38013914583437075,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,-0.31596669279132744,1.13424410582856,-0.583358131157995,-0.5153965985805741,-0.5900083839076895,0.19192589042926667,0.1801035992703171,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
7068,-0.8175179278228148,-0.8245034776436752,-0.07061609079850555,-0.3513854025948586,0.38013914583437075,0.4185483712690716,0.4122937969091595,0.5517940940380058,1.505796986934452,-0.12175309273379369,0.718509497178371,-0.5153965985805741,-0.5900083839076895,0.058482599613632454,0.03204609704620202,0.9389765527743364,0.6556588624856079,-0.8096460852841441,-0.13322695375219856
2856,0.6558660304126903,0.5790285830770214,-0.1861238938325023,-0.5572988703620886,0.38013914583437075,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,0.32793253883588763,-0.12175309273379369,0.12407114902640552,-0.5153965985805741,-0.5900083839076895,0.8591423445074378,-0.9770299633081607,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
186,2.1292499886481955,2.4107568657125067,-0.059605676956281786,-0.04504624104657675,0.38013914583437075,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,1.0060211101955212,0.1672374131301107,0.20996040688571097,-0.5153965985805741,-0.5900083839076895,-3.4110429615928575,0.03204609704620202,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
1136,0.8195753591055243,0.7614084553740611,0.5344574745612122,0.3718523002967722,0.38013914583437075,0.12675251857248493,0.3990395799225066,0.2820322570838957,0.05674942930825813,-0.12175309273379369,-0.2060670659156338,-0.5153965985805741,-0.5900083839076895,0.058482599613632454,-0.2325889422883931,0.8060164257263109,1.5040614096961056,-0.7985634647195999,0.5913229429533025
8161,-1.1449365852084827,-1.0782493869265128,-2.011057980521634,-1.6807002013629417,-2.630615686277433,-0.2645811717262083,-0.32552428201452765,-0.37601377997121044,-0.31596669279132744,-0.12175309273379369,-1.8314312465580775,-0.5153965985805741,-0.5900083839076895,1.1260289261387062,-0.9770299633081607,-0.8692811750788052,-0.7866254677722384,1.2723282815380805,-0.7128668711165993
2058,0.4921567017198564,0.4019350838900409,1.1524856305956042,1.395157737058143,0.38013914583437075,-0.04404328776710229,0.07464035795605153,-0.008592121098479405,-0.10424045725784324,-0.10503942922536552,0.20996040688571097,-0.5153965985805741,-0.5900083839076895,0.3253691812449009,-0.2325889422883931,0.12305538288938223,0.5430903293923126,-0.778469741453043,0.6916452363432949
