,log_market_value
6388,14.914123179965662
3748,12.611541086966117
7533,16.118095750958314
1514,12.429220196836384
7732,14.731801689838347
1451,12.429220196836384
2020,14.508658238524095
3795,12.206077645517674
4206,14.914123179965662
8590,10.12667110305036
4080,11.51293546492023
838,12.206077645517674
9096,11.51293546492023
3726,10.12667110305036
6604,15.201805169084134
8439,15.201805169084134
4933,15.607270193858982
6865,12.899222326086994
450,11.736077016252436
3990,12.206077645517674
1714,12.07254696717504
2719,12.206077645517674
5786,10.12667110305036
339,12.206077645517674
5916,15.319588176962746
7677,13.122365377402328
6849,13.45883704259595
1419,12.206077645517674
34,13.122365377402328
6783,15.424948670398354
2577,11.51293546492023
7900,12.206077645517674
1410,11.918397239722838
5832,11.918397239722838
4121,11.51293546492023
3437,11.51293546492023
889,11.51293546492023
8175,10.819798284210286
2510,13.017005083966255
5773,11.225256725762891
2853,13.45883704259595
8685,11.918397239722838
5248,12.429220196836384
432,13.07107218827772
3443,12.206077645517674
7948,12.206077645517674
7156,10.819798284210286
2671,10.819798284210286
6820,13.017005083966255
6518,10.819798284210286
1886,12.899222326086994
5789,16.118095750958314
1786,12.611541086966117
6168,15.201805169084134
2946,12.691583538230216
2181,12.206077645517674
4961,13.45883704259595
7931,14.346139397261563
2069,12.323860125621126
3681,12.07254696717504
3175,11.51293546492023
880,12.206077645517674
3215,14.508658238524095
7865,13.122365377402328
4371,16.300417291085605
9064,15.201805169084134
2389,15.319588176962746
4565,12.611541086966117
6554,12.611541086966117
1706,13.815511557963774
1158,11.51293546492023
6669,13.122365377402328
8688,13.122365377402328
4908,14.914123179965662
7523,13.122365377402328
7498,10.819798284210286
6727,13.815511557963774
6085,16.118095750958314
4240,13.304686600863562
4157,11.918397239722838
3587,15.955576839107596
1782,11.225256725762891
5987,10.819798284210286
6213,11.51293546492023
6106,16.993564429978885
904,12.323860125621126
8708,10.819798284210286
3712,11.51293546492023
6847,11.918397239722838
6745,10.819798284210286
2080,13.815511557963774
1565,13.592368256649284
5536,15.201805169084134
4722,12.429220196836384
2889,12.611541086966117
4559,12.524530013005734
6016,9.210440366976515
1113,11.51293546492023
4372,10.819798284210286
5306,15.424948670398354
4826,14.220976332738882
5189,14.220976332738882
254,11.51293546492023
4468,15.068273812173889
8655,13.304686600863562
2700,11.51293546492023
5240,17.909855136853043
6812,14.346139397261563
5323,15.068273812173889
4964,15.607270193858982
2407,13.45883704259595
303,12.429220196836384
4630,10.12667110305036
6808,15.76142084987672
4771,10.819798284210286
7777,12.07254696717504
1436,11.736077016252436
2884,14.220976332738882
5933,12.429220196836384
376,10.819798284210286
1869,12.899222326086994
5978,10.12667110305036
4104,16.648723960844016
7560,11.918397239722838
1658,10.819798284210286
755,12.323860125621126
7500,16.648723960844016
3606,12.611541086966117
290,12.206077645517674
5732,10.12667110305036
6674,12.429220196836384
2118,11.51293546492023
5899,12.206077645517674
5169,14.648420115681892
501,12.206077645517674
4525,13.997832948091215
3814,12.765691290604371
5167,13.122365377402328
1539,11.51293546492023
8930,16.012735246411598
5066,10.819798284210286
7034,11.918397239722838
672,11.51293546492023
5920,12.899222326086994
4737,10.819798284210286
2405,11.51293546492023
3830,15.894952224644102
5456,12.524530013005734
7107,13.592368256649284
1464,11.918397239722838
9176,12.206077645517674
7143,12.07254696717504
1192,11.51293546492023
4446,12.429220196836384
2264,13.592368256649284
421,10.819798284210286
505,10.819798284210286
6015,13.017005083966255
1582,13.122365377402328
506,13.592368256649284
4955,11.918397239722838
4329,10.819798284210286
4036,13.71015115341694
2126,12.429220196836384
3110,13.71015115341694
3104,13.527829818844936
4295,13.304686600863562
4514,11.225256725762891
347,11.51293546492023
8114,13.815511557963774
7277,15.068273812173889
8025,13.592368256649284
7030,11.51293546492023
8692,12.765691290604371
312,11.51293546492023
746,12.206077645517674
5807,12.429220196836384
2024,12.206077645517674
2970,12.765691290604371
4414,10.819798284210286
3657,12.07254696717504
8261,13.815511557963774
4960,12.206077645517674
3776,15.607270193858982
3546,11.736077016252436
259,12.429220196836384
6468,13.017005083966255
7765,14.914123179965662
380,11.225256725762891
6835,13.017005083966255
3115,13.592368256649284
1912,10.12667110305036
9085,9.210440366976515
599,12.206077645517674
45,13.45883704259595
1444,11.918397239722838
1652,15.068273812173889
7378,12.429220196836384
1893,12.206077645517674
3558,13.384729180332174
4916,13.45883704259595
8837,13.815511557963774
4430,11.918397239722838
1966,11.736077016252436
4461,15.068273812173889
5289,12.429220196836384
3228,13.815511557963774
9111,15.424948670398354
1600,11.918397239722838
5937,12.323860125621126
5394,12.429220196836384
4118,12.765691290604371
4261,15.76142084987672
3479,14.914123179965662
7293,15.068273812173889
426,10.819798284210286
410,12.524530013005734
7652,12.206077645517674
8780,13.592368256649284
9037,11.51293546492023
6832,15.424948670398354
8205,16.300417291085605
210,12.429220196836384
7612,13.997832948091215
3088,12.765691290604371
8295,16.300417291085605
3639,13.45883704259595
1049,12.206077645517674
7324,13.815511557963774
7607,13.815511557963774
5971,10.819798284210286
8485,12.691583538230216
1972,12.206077645517674
3962,10.12667110305036
7490,16.300417291085605
1499,11.736077016252436
1109,12.206077645517674
4069,12.07254696717504
5705,13.592368256649284
652,11.51293546492023
2827,10.819798284210286
7781,11.918397239722838
1795,10.819798284210286
1702,12.07254696717504
3244,10.819798284210286
5621,12.765691290604371
8751,13.997832948091215
1498,11.51293546492023
7810,11.51293546492023
5533,13.017005083966255
2178,12.206077645517674
3517,14.845130332288226
7259,13.815511557963774
8694,13.45883704259595
7375,12.206077645517674
705,13.122365377402328
1872,10.819798284210286
6616,12.611541086966117
8827,16.811242881518265
8949,13.122365377402328
3008,10.12667110305036
8128,15.894952224644102
5497,13.122365377402328
7815,13.304686600863562
7824,14.220976332738882
565,12.611541086966117
5620,12.611541086966117
8203,12.206077645517674
7868,13.592368256649284
640,11.225256725762891
2960,12.691583538230216
7633,12.611541086966117
7645,15.201805169084134
5582,11.51293546492023
1964,11.736077016252436
5990,12.429220196836384
7873,16.52356082573315
325,12.206077645517674
8369,13.304686600863562
2338,12.07254696717504
7474,13.304686600863562
4820,12.611541086966117
2867,14.508658238524095
2237,12.206077645517674
8507,12.206077645517674
6671,14.508658238524095
4907,12.07254696717504
8702,14.220976332738882
6189,10.819798284210286
4130,12.323860125621126
864,11.51293546492023
5193,12.206077645517674
8649,11.51293546492023
3084,10.819798284210286
5080,12.323860125621126
6747,12.429220196836384
371,12.611541086966117
5348,12.206077645517674
4204,13.017005083966255
2890,11.918397239722838
7190,13.45883704259595
4330,12.323860125621126
8831,12.206077645517674
5039,11.51293546492023
8868,10.819798284210286
3793,15.424948670398354
1360,11.918397239722838
911,11.51293546492023
9290,10.819798284210286
2902,10.819798284210286
4818,15.319588176962746
3743,17.72753358339242
3643,15.319588176962746
964,12.429220196836384
1423,11.51293546492023
122,11.918397239722838
479,12.524530013005734
662,12.899222326086994
3590,12.206077645517674
3336,13.122365377402328
2932,10.12667110305036
7609,15.068273812173889
2578,11.51293546492023
439,12.429220196836384
1379,14.508658238524095
4039,13.122365377402328
1443,10.12667110305036
7459,14.151983508870948
3396,11.225256725762891
1477,11.918397239722838
7718,11.51293546492023
1173,11.225256725762891
8136,11.736077016252436
3782,12.611541086966117
2866,11.51293546492023
6294,15.201805169084134
5299,12.899222326086994
5648,17.909855136853043
279,10.819798284210286
8569,13.122365377402328
5245,13.017005083966255
5204,12.899222326086994
1101,12.691583538230216
568,10.12667110305036
1694,12.206077645517674
7682,10.819798284210286
8697,13.71015115341694
7102,15.76142084987672
8089,13.304686600863562
2995,10.819798284210286
577,12.429220196836384
59,11.51293546492023
787,12.429220196836384
3051,12.07254696717504
2612,12.899222326086994
5771,12.206077645517674
4828,13.122365377402328
3584,14.151983508870948
8208,13.304686600863562
6455,13.384729180332174
8126,13.815511557963774
4314,13.592368256649284
8635,16.118095750958314
8508,14.914123179965662
6648,14.914123179965662
7936,12.429220196836384
8801,13.592368256649284
7771,11.51293546492023
184,11.918397239722838
2992,14.603968372873895
6167,14.731801689838347
420,11.918397239722838
5766,11.918397239722838
553,10.819798284210286
1397,11.918397239722838
8237,12.206077645517674
8871,12.206077645517674
3334,13.997832948091215
1760,11.225256725762891
2860,11.51293546492023
297,12.611541086966117
443,11.51293546492023
777,10.12667110305036
1119,12.899222326086994
4708,15.607270193858982
3552,12.611541086966117
1921,11.918397239722838
655,11.225256725762891
2229,10.819798284210286
2537,11.736077016252436
2685,13.122365377402328
6265,14.731801689838347
2541,14.914123179965662
3204,10.819798284210286
4757,10.819798284210286
2457,11.918397239722838
2579,12.429220196836384
8001,16.118095750958314
8016,14.220976332738882
7308,12.429220196836384
3634,12.429220196836384
558,12.206077645517674
7706,12.07254696717504
1371,12.899222326086994
907,12.524530013005734
7108,13.592368256649284
1433,12.611541086966117
8977,9.210440366976515
4948,14.731801689838347
3218,14.731801689838347
6782,15.068273812173889
4488,12.611541086966117
926,11.225256725762891
4398,12.429220196836384
2470,11.51293546492023
15,13.304686600863562
8347,11.918397239722838
6811,17.216707972959764
2363,12.611541086966117
6158,15.201805169084134
6469,12.899222326086994
1161,11.51293546492023
3811,13.122365377402328
9052,10.12667110305036
3495,11.918397239722838
2817,13.71015115341694
7323,12.899222326086994
7365,12.429220196836384
1362,12.611541086966117
2916,11.918397239722838
1212,11.225256725762891
1876,12.429220196836384
2651,12.429220196836384
6547,14.845130332288226
3709,14.731801689838347
7082,13.122365377402328
4523,12.899222326086994
6140,14.731801689838347
1170,11.918397239722838
579,11.51293546492023
2182,11.918397239722838
3302,11.225256725762891
2681,11.51293546492023
1833,13.122365377402328
6338,14.508658238524095
3428,13.592368256649284
1859,13.304686600863562
4023,13.017005083966255
6332,11.225256725762891
4702,11.918397239722838
4272,12.765691290604371
4127,11.225256725762891
387,12.611541086966117
5775,17.216707972959764
1032,12.429220196836384
5829,16.454567959008102
2488,12.611541086966117
7903,11.225256725762891
2630,12.765691290604371
6304,14.731801689838347
4571,12.429220196836384
2780,12.429220196836384
931,10.819798284210286
5770,13.997832948091215
691,11.918397239722838
3672,14.508658238524095
1891,11.51293546492023
2268,11.918397239722838
5731,13.017005083966255
4644,11.918397239722838
7245,13.815511557963774
5390,10.819798284210286
7739,11.918397239722838
44,13.815511557963774
7465,12.206077645517674
6960,13.997832948091215
8100,13.122365377402328
1187,12.899222326086994
5609,12.206077645517674
4286,10.819798284210286
7066,10.12667110305036
1683,11.51293546492023
6792,13.592368256649284
3642,11.51293546492023
6422,15.76142084987672
63,12.429220196836384
617,12.429220196836384
7341,14.220976332738882
5871,11.736077016252436
227,12.429220196836384
3705,10.819798284210286
7661,10.12667110305036
4498,14.220976332738882
6214,14.346139397261563
969,12.611541086966117
1805,13.71015115341694
2447,13.122365377402328
3485,13.122365377402328
7901,11.918397239722838
4763,10.819798284210286
8291,10.12667110305036
5021,11.51293546492023
3503,9.210440366976515
1860,11.51293546492023
7027,13.815511557963774
5794,12.899222326086994
7869,12.611541086966117
3456,14.914123179965662
252,13.122365377402328
3131,10.12667110305036
7746,12.611541086966117
1789,12.206077645517674
3931,11.51293546492023
2059,10.819798284210286
4715,13.304686600863562
4057,13.592368256649284
6026,12.611541086966117
1902,12.206077645517674
2119,12.691583538230216
6709,14.508658238524095
4056,13.592368256649284
3261,13.592368256649284
2690,12.429220196836384
4236,14.731801689838347
5010,10.819798284210286
5130,15.201805169084134
75,12.899222326086994
2345,12.899222326086994
2351,12.429220196836384
3706,15.520258832020865
430,11.736077016252436
7845,15.424948670398354
6275,13.122365377402328
4974,11.918397239722838
4983,12.611541086966117
8180,13.815511557963774
3304,10.819798284210286
3439,10.819798284210286
6042,13.815511557963774
6163,12.611541086966117
3727,17.034386422832473
5671,10.12667110305036
240,12.206077645517674
783,11.51293546492023
1354,10.819798284210286
7444,13.017005083966255
