,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,cs_rate,save_pct_proxy,gk_offensive
1958,-0.4911733251918122,-0.5466947743082483,1.2935358901170242,1.589896295721951,0.8255132229215193,-0.04341530649267131,2.043309597329733,1.8485733662054722,0.0014725168942573423,-0.2961288131676175,1.1252486549688387,-0.40425147250511956,0.9042444552430938,0.5955373698620186,-0.3160646855196059,-0.3605901733662371,-0.2961288131676175,1.8485733662054722
934,0.5882325724871497,0.49447919361646125,0.7561656468154073,0.5289123052455101,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.5276248265726783,-0.13287748569139943,0.4134071029385389,-0.40425147250511956,-0.6213339571952319,0.1781046339774262,1.1079205098681428,-0.07831131004778116,-0.13287748569139943,-0.2352454750034524
2164,-0.9537758527685102,-0.9197617932601935,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.019623963750441075,-0.40425147250511956,2.2118830944759442,0.1781046339774262,-0.5836187199673863,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
1182,0.7424334150127156,0.6627251041242012,1.1550123154017193,1.316749587001078,0.8255132229215193,-0.04341530649267131,3.660574736484113,3.32859690503868,1.715718648300572,-0.20812635534619905,0.4869899534987969,-0.40425147250511956,3.083642187297845,0.03896038868256211,0.2219466411622202,-0.21113976944151008,-0.20812635534619905,3.32859690503868
1451,0.27983088743601775,0.17261745177556742,1.0811891516440744,1.18664526006517,0.8255132229215193,-0.04341530649267131,4.949981397639881,4.508584133747938,-0.521863228874641,-0.20835008915515477,0.17932413296226957,-0.40425147250511956,1.340124001654044,0.3172488792722903,-0.5005639193114095,-0.2188586145394507,-0.20835008915515477,4.508584133747938
1235,-0.028570797615114253,-0.12973751783254495,1.047666618714666,1.1018848051870807,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.834746106712558,-0.24046631070119065,0.4134071029385389,2.132620455402633,1.340124001654044,0.5955373698620186,0.9891859119941783,-0.26578919273492985,-0.24046631070119065,-0.2352454750034524
1169,0.27983088743601775,0.17261745177556742,-0.15654715489021784,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.019623963750441075,-0.40425147250511956,-0.6213339571952319,-0.10018385661230199,1.1079205098681428,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
1699,-0.33697248266624624,-0.4125857152078759,0.6819567029568181,0.3890013570166391,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.6327400878684036,0.6667142350995626,2.3748048854292247,1.122184228448569,0.03896038868256211,0.2219466411622202,1.2436481191564726,0.6327400878684036,-0.2352454750034524
1695,-0.18277164014068023,-0.2735999630493081,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.632377663449776,-0.40425147250511956,-0.6213339571952319,-0.2393281019071661,1.0372133221513744,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2768,-1.1079766952940762,-1.0343640801277845,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.536075257325437,-0.40425147250511956,-0.6213339571952319,0.3172488792722903,-0.563016794958239,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2653,-0.7995750102429442,-0.8002828133344071,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.3187085738586168,-0.40425147250511956,-0.6213339571952319,0.3172488792722903,1.0372133221513744,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
677,1.0508351000638476,1.013847004314267,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.8856829734902599,-0.40425147250511956,-0.6213339571952319,0.5955373698620186,-0.5005639193114095,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
41,1.9760401552172435,2.1842533382811538,0.5429786737554099,0.13578861780100163,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,4.275796453170246,-0.34168227848043664,1.1252486549688387,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
3089,-1.4163783803452081,-1.2489385746883803,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.3187085738586168,-0.40425147250511956,0.03248536242119343,0.5955373698620186,-0.5005639193114095,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2755,-0.33697248266624624,-0.4125857152078759,0.0032654089334930594,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.634547921572205,-0.19934789827872132,-0.40425147250511956,0.03248536242119343,0.1781046339774262,1.1079205098681428,1.0032918593011537,0.634547921572205,-0.2352454750034524
2921,-1.1079766952940762,-1.0343640801277845,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-2.3241274111570744,-0.40425147250511956,-0.6213339571952319,0.03896038868256211,-0.42136463349490544,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
243,1.9760401552172435,2.1842533382811538,1.1064181962473243,1.2203048123750726,0.8255132229215193,-0.04341530649267131,4.467279155086862,4.066844146945534,2.1792320344750267,-0.23420099103943093,1.2391508880615285,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-0.7729566272024182,-0.2557171208933738,-0.23420099103943093,4.066844146945534
1120,0.27983088743601775,0.17261745177556742,0.11661973976390198,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,1.5375608566208983,-0.19934789827872132,-0.40425147250511956,-0.6213339571952319,1.0129701057466107,-0.42136463349490544,3.8875669775649797,1.5375608566208983,-0.2352454750034524
