,log_market_value
597,10.819798284210286
2995,12.899222326086994
1535,11.918397239722838
1579,14.220976332738882
1028,12.206077645517674
3071,10.819798284210286
518,12.611541086966117
2140,11.51293546492023
770,11.51293546492023
573,11.51293546492023
3506,12.206077645517674
3176,12.206077645517674
1364,13.71015115341694
2284,12.206077645517674
3495,9.210440366976515
1924,10.819798284210286
1781,12.765691290604371
123,11.51293546492023
2916,10.12667110305036
2928,11.918397239722838
220,10.819798284210286
822,11.51293546492023
3462,10.819798284210286
358,11.918397239722838
100,12.611541086966117
3068,11.918397239722838
551,11.51293546492023
2507,14.220976332738882
1914,11.918397239722838
259,12.429220196836384
3246,11.51293546492023
2636,11.918397239722838
3047,11.51293546492023
2759,10.819798284210286
2735,13.527829818844936
2041,16.588099342704055
1223,11.51293546492023
2777,12.899222326086994
1380,10.12667110305036
2234,10.819798284210286
1091,12.611541086966117
3284,12.206077645517674
2953,16.52356082573315
2679,14.731801689838347
3220,12.611541086966117
456,12.429220196836384
462,11.51293546492023
2554,14.508658238524095
930,12.899222326086994
1047,12.899222326086994
1876,10.12667110305036
3019,10.819798284210286
381,10.819798284210286
3279,10.819798284210286
2175,13.122365377402328
2227,10.819798284210286
933,11.918397239722838
1142,12.899222326086994
1679,11.51293546492023
1112,12.429220196836384
1740,11.51293546492023
662,12.611541086966117
59,12.206077645517674
3186,10.819798284210286
3237,11.51293546492023
2115,10.12667110305036
3738,10.819798284210286
1768,11.918397239722838
2717,11.918397239722838
2630,12.206077645517674
1131,14.508658238524095
1976,11.736077016252436
657,11.225256725762891
3333,10.819798284210286
848,12.429220196836384
542,10.819798284210286
2791,12.765691290604371
1883,13.304686600863562
1456,11.51293546492023
2181,13.815511557963774
2305,14.403297778421797
1804,11.918397239722838
2497,12.323860125621126
3566,11.918397239722838
2121,11.225256725762891
2446,12.206077645517674
3436,13.122365377402328
1618,13.815511557963774
3041,12.765691290604371
237,12.691583538230216
1940,13.997832948091215
1238,12.899222326086994
2232,14.403297778421797
2350,10.819798284210286
163,13.122365377402328
1351,11.51293546492023
252,12.765691290604371
3118,11.51293546492023
1958,14.731801689838347
934,11.51293546492023
2164,12.429220196836384
1182,12.206077645517674
1451,12.611541086966117
1235,13.592368256649284
1169,11.918397239722838
1699,13.45883704259595
